video_id,title,rating_view,rating_comments,rating_good,published_date,description
trD0ijDXU1E,불닭볶음면 처음 먹어본 외국인 반응,548266,367,10608,2023-08-13T05:00:22Z,비즈니스 문의 : jinku7979@gmail.com.
Nj3_acWCxPM,불닭볶음면 이모티콘 맛평가🔥Buldak noodles emoji mukbang asmr,1014962,340,26791,2023-08-17T09:00:56Z,불닭볶음면 #야끼소바 #하바네로라임 #asmr #mukbang #먹방.
ZDiazeC3mLk,요즘 🔥핫🔥한 편의점 꿀조합 레시피٩( ᐛ )و #로켓뉴스 #편의점꿀조합 #불닭볶음면,205629,9,2732,2023-08-22T01:55:31Z,
B5ly35VsgUI,세상에서 가장 완벽한 불닭볶음면,12803037,4059,315802,2023-08-22T11:32:17Z,오늘 입은 밀감몰 옷 상의 : https://milgammall.com/surl/p/88 목걸이 : https://milgammall.com/surl/p/50.
EbWU_J6-1JQ,와... 미쳤습니다.. 왜 맛있지? 라면만큼 쉬운 원팬 불닭 치즈 파스타 레시피,168080,193,4495,2023-08-27T02:44:31Z,원팬으로 만드는 불닭 치즈 파스타인데요 재료도 간단하고 만드는 방법도 라면처럼 쉬운데.. 맛있습니다! 설거지거리도 세상 적어서 ...
eMU9gDo99zU,자취하면 좋은 점 : 불닭쌈 대놓고 먹을 수 있음 #불닭쌈 #fyp,1700631,269,40664,2023-08-27T08:33:21Z,
NCVOWdidqIk,어느 새벽 .. 호르몬 따위에게 굴복 한 날 .. [핵불닭+타코야끼=미친조합🐙🔥],375134,262,3886,2023-08-24T13:32:52Z,핵불닭 #타코야끼 인스타 : hyun_ji_0209 문의 : q53g38@naver.com.
RHDt1KNUw2I,말레이시아 길거리에서 유명한 불닭오믈렛,41291,9,1053,2023-08-26T11:23:49Z,간단요리 #불닭볶음면 #라면요리.
Oifcnh2atd4,"불닭볶음면 전메뉴 뿌셨습니다🍜 다음 날 화장실은...더보기 | 불닭볶음면, 까르보불닭, 치즈불닭, 불닭볶음탕면, 하바네로라임,할라피뇨치즈볶음면",206212,79,2381,2023-08-30T09:01:07Z,민경장군 #김민경 #불닭볶음면 여러분 안녕하세요   오늘은 불닭볶음면에서 나온 모든 메뉴를 먹어봤는데요! 저는 이렇게 종류가 ...
XriFqTc9Qis,불닭볶음면 신제품을 먹어봤습니다,218522,472,3007,2023-08-14T07:00:26Z,채널에 가입하여 혜택을 누려보세요. https://www.youtube.com/channel/UCta_NRwnsUaew0t3VNxBNyg/join 김재원 방송 ...
Zi9dL7ze_QQ,정말 먹고싶었던 불닭볶음탕면 드디어 먹었습니다😆 불닭볶음탕면 8봉지에 간장계란밥 2그릇 진짜 꿀조합인데요?? 만리 라면 먹방 mukbang,1074154,633,14517,2023-08-08T10:00:11Z,라면 #라면먹방 #만리 #만리라면 ✨비즈니스메일 : manli@alohamedia.co.kr ✨인스타그램 : manlipig 안녕하세요 여러분 오늘은 ...
7xImh8VWS10,해외에서 유행하는 불닭오믈렛,1651441,601,35709,2023-08-30T02:40:31Z,
h9h04ihxwAg,불닭볶음면 더욱 맛있게먹는법,108384,153,2497,2023-08-27T09:00:20Z,시청해주셔서 감사합니다 #먹방 #라면먹방 #불닭볶음면 #불닭먹방 #라면 #까르보불닭먹방 #까르보불닭볶음면 #까르보불닭 #맥 ...
FbIvczzrrNY,광기의 치즈 까르보불닭볶음면 먹방💖여러분들이 이 영상을 볼 때쯤이면 전 아이를 낳으러 가있겠죠… ASMR MUKBANG | carbo fire noodles :D,703149,218,10672,2023-08-29T10:51:09Z,00:00 치즈듬뿍 까르보불닭 만들기 02:05 start eating 나도의 나도 먹을래   나도의 두번째 채널(Nado's second channel) ...
lKmO96aMxL0,불닭 그리고 참치마요 주먹밥 Let&#39;s cook Triangle gimbap with K-pop🎵,1514997,437,80589,2023-08-10T13:40:01Z,shorts.
yP-Uo3apvGk,CARBO FIRE NOODLES 까르보 불닭볶음면 편의점 애니먹방 (재업로드) / animation mukbang,1963008,275,10263,2023-08-02T10:02:32Z,"이번에 먹어볼 음식은! 불닭볶음면 편의점 먹방2탄! 까르보 불닭과 삼김, 킬바사 소시지, 바나나우유?, 그리고 삶은달걀입니다. 재밌게 ..."
fNvp1hIWyT8,대충 처음으로 불닭 먹고 피똥 싸는 영상,60617,92,891,2023-08-03T02:08:40Z,전 영상의 이벤트는 8월 4일 마감하도록 하겠습니다 ❤️ 첫 경험 첫 불닭 먹방은 혼자 포카리스웨트 1.5리터를 다 마시는 바람에 물배 ...
2nKUw8Sk6a4,이모 vs 두뉴 맵찔이는 누구일까요?,4203439,7944,81987,2023-08-09T23:28:00Z,까르보불닭먹방 #먹방asmr #가족 이모와 두뉴 중 맵찔이는 누구~게? 영상 다보기 전에 댓글로 달아주세요.
FyY4B0Yp690,이거 유행 지났냐? 불닭볶음탕죽,7953,0,110,2023-08-31T09:42:26Z,
unlpProlLJU,"ASMR 다시돌아온 불닭볶음탕 8봉지 새우볼 리얼먹방 :) 8 really spicy ramen, a shrimp ball MUKBANG",882074,498,14408,2023-08-02T10:00:47Z,안녕하세요아미입니다 저는 평균적으로 먹는 속도가 30분~1시간 입니다 영상을 10분~15분으로 만들다 보니 먹는 도중 음식이 ...
clwquSfhMgs,🔥불닭야끼소바빵🔥,8103,12,123,2023-08-15T11:11:13Z,"야끼소바빵..인데 거기에 불닭을 곁들인.. 버터 좌르르 흐르는 소금빵 안에 면 그득 넣고 한입 와앙,,   아주 맛있어요     - instagram ..."
lT4fTiRbv6s,불닭야끼소바에 숙주 넣으면 고급 야끼소바,52638,41,1691,2023-08-12T02:56:29Z,
fOE9fG3O9ic,"식욕이 무기력을 이겨버린 일상/ 불닭볶음탕면 + 통삼겹살구이 / 한강 치킨+라면 / 설빙 / 오징어김밥, 아욱된장국, 샤브샤브, 오므라이스",419894,618,6087,2023-08-17T10:13:50Z,집밥브이로그#요리브이로그#일상브이로그 instagram : http://www.instagram.com/hhhongsiii 비지니스 메일 ...
zNTkutH1dZQ,불닭볶음탕면!!😋😋😜 #mukbang #asmr #spicy #buldak #noodle #애니먹 #animuk #😭😭👍,149866,34,3224,2023-08-23T05:08:58Z,
M0sEzNF_cKI,맵찔이를 위한 까르보 불닭 조합🩵✨,691960,124,22064,2023-08-17T08:32:51Z,
lUNC_CV7hi0,한국판 라티아오st…?! 불닭맛 쫀드기튀김 먹어보기🔥🐓,1554,5,45,2023-08-10T05:05:00Z,
5STYOFVp3KY,해외에서만 판매하는 불닭볶음면 3배 핵불닭 먹어보기 #불닭볶음면,510,4,7,2023-08-27T11:00:04Z,불닭볶음면 #불닭3배 #호주 안녕하세요. 은캉예캉이 간다 Let's go kangkang 입니다. 오늘도 저희 영상을 시청해주셔서 감사합니다.
iA4ViuuXH5w,불닭치즈컵밥,1638,2,30,2023-08-21T10:30:11Z,불닭 #밥 #치즈.
pVmIYZnOst8,how to make doritos buldak cup ramen #asmr #koreanfood,2579450,229,148845,2023-08-28T15:00:43Z,asmr #koreanfood #conveniencestore #buldak #shorts.
zz969tbdcGM,불닭볶음면 100개로 탑 쌓기ㅋㅋㅋ #shorts,1812572,477,52343,2023-08-19T04:00:27Z,불닭이 너무 많아서 탑을 쌓아 버렸어...
QGCv_mVs_aw,허챠밍의 최강 불닭볶음탕면 레시피를 찾아서를 따라서,54522,45,748,2023-08-12T12:24:25Z,product information ︻╦╤─ ҉ - - - JINJIN 진진 business contact : busygaljinri@gmail.com ...
L0pfSm5c7r8,"혼자 몰래 먹어요, 야끼소바 불닭쌈 만두 Yakisoba Buldak Ssam Dumplings",3310374,373,143164,2023-08-24T13:30:19Z,불닭쌈 #불닭볶음면 #buldak #ramen #spicynoodles #springroll #fyp #viral.
IkTqy0dnCeU,맛있다...콘치즈불닭볶음면 타코야끼 먹방 !!!ASMR MUKBANG SPICY FIRE NOODLES Octopus Balls,254598,108,4712,2023-08-25T15:15:00Z,콘치즈불닭볶음면 #먹방 #asmr Music provided by 브금대통령 Track : A Village of Andes - • [Royalty Free Music] A Village of ...
F4PlT6eavlo,"ASMR CHEESY CARBO FIRE NOODLE, CHICKEN, CHEESE BALL 까르보불닭 뿌링클 치킨 치즈볼 먹방 EATING SOUNDS MUKBANG",659196,203,7078,2023-08-01T12:00:10Z,"ASMR CHEESY CARBO FIRE NOODLE, MOZZARELLA CHEESE STICKS 까르보불닭 뿌링클 치즈스틱 치즈볼 먹방 EATING ..."
myTQSPNxagE,🔥불닭팽이버섯 우동 먹방🔥 ASMR SPICY ENOKI MUSHROOMS MUKBANG EATING SOUNDS,342841,196,6788,2023-08-28T09:00:24Z,ASMR #불닭팽이버섯 #히밥 00:00 Intro 00:27 Cooking 01:35 Mukbang 11:40 Outro.
RUrr0B3hQLg,불닭치즈김밥,2784,1,34,2023-08-27T10:50:47Z,불닭#불닭치즈김밥#불닭김밥.
-XyqR9BmglE,"한국 라면을 먹어본 미국인 반응?!😳😳 (불닭볶음면,비빔면,짜파게티)",518282,156,10569,2023-08-07T10:31:43Z,국제커플 #shorts.
1kfYxgA1KrQ,이지모드 라는 까르보 불닭 외국인들 반응 #shorts,88588,31,1029,2023-08-31T13:00:02Z,감사합니다.
lupN3kXJTD0,매콤 달달 한입 먹어보면 계속 먹게 되는 불닭소스 삼겹살 제육볶음 레시피! 불닭소스를 더 맛있게 만들어서 먹으면 아주 맛있는 삼겹살 볶음,360,2,9,2023-08-12T08:00:19Z,안녕하세요 휘리릭요리입니다. 매콤 달달 한입 먹어보면 게속 먹게 되는 불닭소스 삼겹살볶음 레시피 불닭소스를 더 맛있게 만들어서 ...
PePvkbJBsP0,불닭치즈김밥,19440,19,-1,2023-08-16T08:30:11Z,food #foodie #shorts #간편레시피 #간편식 #요리 #간단요리 #자취요리 #1분요리 #shortsfood #りょうり #먹방 #foodstagram ...
IWEusqWTzBs,요새 유행하는 불닭 꿀조합,36401,26,653,2023-08-19T11:00:22Z,
inTgxm6Q07w,SUB)bhc 신메뉴 마법클 치킨에 뿌링클치즈볼 먹방! 오랜만에 오리지널 불닭볶음면까지🫠🧡 꿀조합 리얼사운드 Chicken &amp; Buldak Mukbang Asmr,1644830,324,26521,2023-08-17T11:00:29Z,"각국어 번역 자막 제작 : 컨텐츠 제작의 마무리는 컨텐츠플라이! 글로벌 진출을 위한 최고의 파트너, CONTENTSFLY에서 제작 ..."
XuX_jqdNt-c,입벌려라 불닭 들어간다. #shortvideo #먹방 #불닭 #불닭볶음면 #shorts #foodshorts,116,10,10,2023-08-27T13:13:22Z,
-zCTlmVX9fo,how to make buldak carbonara risotto #asmr #koreanfood,146032,33,10003,2023-08-21T15:00:00Z,asmr #conveniencestore #koreanfood #buldak #shorts.
fnwdJrE7euw,불닭볶음면🔥,3835074,440,84743,2023-08-24T15:00:25Z,불닭볶음면.
6Xele92RuOU,새로나온 불닭볶음면 야끼소바 8개 매운김치 먹방 korean spicy kimchi spicy noodles X8 mukbang eating show,78366,130,2002,2023-08-05T12:15:00Z,안녕하세요 부산 35도 찍어버리는 폭염에 불닭볶음면 야끼소바 8개 끓이고 매운김치 준비했습니다. 여러분들 덕분에 정말 맛있게 잘 ...
bPqDJpMrMEo,"분노의 대창 수혈!🔥바삭통글 대창에 매콤~한 불닭볶음탕면!저세상 꿀조합!(ft.디저트는 마카롱,약과쿠키ㅣ대창먹방 라면먹방 Daechang RamenㅣREAL ASMR MUKBANG",369773,215,6735,2023-08-10T12:43:57Z,GOODzzi instagram :https://www.instagram.com/goodzzi._.v/ 4:45 대창굽굽❤️ 5:42 먹방시작   5:59 첫입   14:26 디저트 ...
qiEC5fc6S9w,야끼소바 불닭볶음면 먹을 땐 반숙란 필수에요🍳,4315,7,57,2023-08-24T11:15:02Z,야끼소바 불닭볶음면 먹을 땐 반숙란 필수에요   ‍❄야끼소바빵 단순히 면이랑 빵 같이 먹는거 아니야? 라고 할 수 있겠지만 전 ...
65MIsm6L7FU,일요일 황영웅 요리사 초대 메뉴선정 &quot;비상&quot; #불닭짜장 #짜파게티 #불닭짬뽕 #찰비빔면,1121,22,219,2023-08-06T01:51:00Z,당신의 선택은? 메뉴 고르기 넘 어렵쥬?! #불닭짬뽕 #불닭짜장 #짜파게티 #찰비빔면.
k6ByedlUow0,"요즘 핫한🔥 편의점 꿀조합 모조리 만들어 먹기😎 (까르보불닭+뭉개뭉계란,영훈정식,노른자+불닭+참기름,불막창+치즈볶이,라면볶이+불닭,수박에이드+딸기우유 등등)",236687,132,4016,2023-08-26T10:52:02Z,채널구독 Subscribe - http://bit.ly/1NhqAO6 ❤ instagram - https://instagram.com/sini_ck ❤멤버십 가입 ...
FTsteG_FAXM,불닭 짜파게티 #shorts #요리 #불닭볶음면,4,0,1,2023-08-20T08:17:55Z,
KKJFAt7cbxQ,하성티비의 불닭볶음면 먹방!!! 과연 맛있을까요..??  (마지막에 쿠키영상 있어요!!🍪🍪) #챌린지 #불닭 #불닭볶음면 #먹방 #쿠키영상 #편집 #spicy #매움 #하성티비,205,-1,19,2023-08-04T22:00:09Z,
rUt5pewX0Dk,불닭볶음탕 라죽 진짜 맛있어 #라죽 #불닭볶음탕 #shorts,239,0,6,2023-08-31T07:25:47Z,
r-1f1iqwgnw,불닭팽이쌈 처음 먹은 할머니 반응#shorts,3500,17,80,2023-08-20T09:54:26Z,불닭 #불닭팽이버섯 #치즈불닭쌈 #불닭쌈 #불닭팽이버섯쌈 #먹방 #buldak #mukbang #서민자밥상.
QGCv_mVs_aw,허챠밍의 최강 불닭볶음탕면 레시피를 찾아서를 따라서,54522,45,748,2023-08-12T12:24:25Z,product information ︻╦╤─ ҉ - - - JINJIN 진진 business contact : busygaljinri@gmail.com ...
IWEusqWTzBs,요새 유행하는 불닭 꿀조합,36401,26,653,2023-08-19T11:00:22Z,
pUVhov-2MTQ,야생에서 BTS 정국 불닭 막국수로 살아남기!,362190,297,10567,2023-08-19T09:57:33Z,summerofshorts #쇼츠 #shorts #bts #정국 #불닭막국수.
-XyqR9BmglE,"한국 라면을 먹어본 미국인 반응?!😳😳 (불닭볶음면,비빔면,짜파게티)",518282,156,10569,2023-08-07T10:31:43Z,국제커플 #shorts.
